'Année','Athlète','Position','Age','Equipe','Matchs joués','%3Points','%2Points','Passes','Points'
1950,'Walt Kirk','PG',25,'TRI',32,'0','0.28',60,230
1950,'Leo Klier','F-G',26,'FTW',66,'0','0.304',121,455
1950,'Duane Klueh','G',24,'TOT',52,'0','0.384',91,475
1950,'Duane Klueh','G',24,'DNN',33,'0','0.364',63,331
1950,'Duane Klueh','G',24,'FTW',19,'0','0.438',28,144
1950,'Lee Knorek','C',28,'BLB',1,'0',0,0,0
1950,'Milo Komenich','F-C',29,'AND',64,'0','0.283',124,634
1950,'Leo Kubiak','G',22,'WAT',62,'0','0.326',201,710
1950,'Frank Kudelka','G-F',24,'CHS',65,'0','0.326',132,433
1950,'Walt Lautenbach','G-F',27,'SHE',55,'0','0.301',73,238
1950,'Tony Lavelli','F',23,'BOS',56,'0','0.372',40,492
1950,'Ed Leede','F-G',22,'BOS',64,'0','0.343',130,571
1950,'Andrew Levane','F-G',29,'SYR',60,'0','0.333',156,332
1950,'Freddie Lewis','F-G',29,'TOT',34,'0','0.25',25,117
1950,'Freddie Lewis','F-G',29,'BLB',18,'0','0.227',18,63
1950,'Freddie Lewis','F-G',29,'PHW',16,'0','0.284',7,54
1950,'Ron Livingstone','C',24,'TOT',54,'0','0.282',141,448
1950,'Ron Livingstone','C',24,'BLB',16,'0','0.245',24,85
1950,'Ron Livingstone','C',24,'PHW',38,'0','0.289',117,363
1950,'John Logan','G',29,'STB',62,'0','0.331',240,755
1950,'Ray Lumpp','G',26,'NYK',58,'0','0.322',90,268
1950,'Ed Macauley*','C-F',21,'STB',67,'0','0.398',200,1081
1950,'Johnny Macknowski','G-F',27,'SYR',59,'0','0.333',65,439
1950,'John Mahnken','C',27,'TOT',62,'0','0.267',108,341
1950,'John Mahnken','C',27,'FTW',2,'0','0.375',2,7
1950,'John Mahnken','C',27,'TRI',36,'0','0.266',64,223
1950,'John Mahnken','C',27,'BOS',24,'0','0.262',42,111
1950,'John Mandic','F-C',30,'TOT',25,'0','0.293',8,66
1950,'John Mandic','F-C',30,'WSC',22,'0','0.323',7,62
1950,'John Mandic','F-C',30,'BLB',3,'0','0.1',1,4
1950,'Slater Martin*','PG',24,'MNL',67,'0','0.351',148,271
1950,'Ariel Maughan','F',26,'STB',68,'0','0.279',101,477
1950,'Matt Mazza','F',26,'SHE',26,'0','0.3',29,98
1950,'Mike McCarron','G',27,'TOT',8,'0','0.2',3,9
1950,'Mike McCarron','G',27,'BLB',3,'0','0.2',1,4
1950,'Mike McCarron','G',27,'STB',5,'0','0.2',2,5
1950,'Dick McGuire*','PG',24,'NYK',68,'0','0.337',386,584
1950,'Bones McKinney','SF',31,'WSC',53,'0','0.296',88,492
1950,'Mal McMullen','F-C',22,'INO',58,'0','0.324',87,323
1950,'Dick Mehen','PF',27,'WAT',62,'0','0.42',191,892
1950,'Ken Menke','G',27,'WAT',6,'0','0.353',7,15
1950,'Stan Miasek','C-F',25,'CHS',68,'0','0.381',75,498
1950,'Ed Mikan','C',24,'TOT',65,'0','0.277',42,270
1950,'Ed Mikan','C',24,'CHS',21,'0','0.244',14,107
1950,'Ed Mikan','C',24,'ROC',44,'0','0.299',28,163
1950,'George Mikan*','C',25,'MNL',68,'0','0.407',197,1865
1950,'Vern Mikkelsen*','PF',21,'MNL',68,'0','0.399',123,791
1950,'Al Miksis','C',21,'WAT',8,'0','0.238',4,27
1950,'Murray Mitchell','C',26,'AND',2,'0','0.333',2,2
1950,'Leo Mogus','F-C',28,'PHW',64,'0','0.396',99,562
1950,'Max Morris','F-C',24,'SHE',62,'0','0.363',194,781
1950,'Joe Mullaney','G',24,'BOS',37,'0','0.129',52,30
1950,'Jerry Nagel','G',21,'FTW',14,'0','0.214',18,13
1950,'Jack Nichols','PF',23,'TOT',67,'0','0.366',142,879
1950,'Jack Nichols','PF',23,'WSC',49,'0','0.362',81,643
1950,'Jack Nichols','PF',23,'TRI',18,'0','0.374',61,236
1950,'Richie Niemiera','G-F',28,'TOT',60,'0','0.314',116,324
1950,'Richie Niemiera','G-F',28,'FTW',31,'0','0.285',61,174
1950,'Richie Niemiera','G-F',28,'AND',29,'0','0.357',55,150
1950,'Paul Noel','F',25,'NYK',65,'0','0.337',67,249
1950,'Jim Nolan','C',22,'PHW',5,'0','0.19',4,8
1950,'Johnny Norlander','F',28,'WSC',40,'0','0.338',33,251
1950,'George Nostrand','C-F',26,'TOT',55,'0','0.306',29,212
1950,'George Nostrand','C-F',26,'BOS',18,'0','0.3',17,108
1950,'George Nostrand','C-F',26,'TRI',1,'0','0.5',1,12
1950,'George Nostrand','C-F',26,'CHS',36,'0','0.296',11,92
1950,'Mike Novak','C-F',34,'TOT',60,'0','0.248',61,99
1950,'Mike Novak','C-F',34,'ROC',5,'0','0.091',4,3
1950,'Mike Novak','C-F',34,'PHW',55,'0','0.261',57,96
1950,'Dermie O''Connell','G',21,'TOT',61,'0','0.261',91,269
1950,'Dermie O''Connell','G',21,'BOS',37,'0','0.262',64,177
1950,'Dermie O''Connell','G',21,'STB',24,'0','0.26',27,92
1950,'Andy O''Donnell','G',24,'BLB',25,'0','0.352',17,90
1950,'Dick O''Keefe','G-F',26,'WSC',68,'0','0.306',74,474
1950,'John Oldham','G',26,'FTW',59,'0','0.298',99,357
1950,'Gene Ollrich','G',27,'WAT',14,'0','0.236',24,44
1950,'Johnny Orr','F',22,'TOT',34,'0','0.339',20,92
1950,'Johnny Orr','F',22,'STB',21,'0','0.362',6,40
1950,'Johnny Orr','F',22,'WAT',13,'0','0.324',14,52
1950,'Don Otten','C',28,'TOT',64,'0','0.373',91,825
1950,'Don Otten','C',28,'TRI',46,'0','0.366',73,556
1950,'Don Otten','C',28,'WSC',18,'0','0.391',18,269
1950,'Mac Otten','F-C',24,'TOT',59,'0','0.329',36,142
1950,'Mac Otten','F-C',24,'TRI',12,'0','0.353',11,39
1950,'Mac Otten','F-C',24,'STB',47,'0','0.322',25,103
1950,'Red Owens','SG',24,'TOT',61,'0','0.299',73,240
1950,'Red Owens','SG',24,'TRI',26,'0','0.307',32,124
1950,'Red Owens','SG',24,'AND',35,'0','0.291',41,116
1950,'Easy Parham','F-G',28,'STB',66,'0','0.325',132,362
1950,'Jack Parkinson','G',25,'INO',4,'0','0.083',2,3
1950,'Charlie Parsley','G',24,'PHW',9,'0','0.258',8,22
1950,'Stan Patrick','F-G',27,'TOT',53,'0','0.395',74,321
1950,'Stan Patrick','F-G',27,'WAT',34,'0','0.422',41,228
1950,'Stan Patrick','F-G',27,'SHE',19,'0','0.346',33,93
1950,'Johnny Payak','SG',23,'TOT',52,'0','0.296',86,317
1950,'Johnny Payak','SG',23,'PHW',17,'0','0.375',8,37
1950,'Johnny Payak','SG',23,'WAT',35,'0','0.288',78,280
1950,'Warren Perkins','G-F',27,'TRI',60,'0','0.303',114,371
1950,'Ed Peterson','C',25,'SYR',62,'0','0.428',33,445
1950,'Jack Phelan','F',24,'TOT',55,'0','0.325',57,226
1950,'Jack Phelan','F',24,'WAT',15,'0','0.348',16,61
1950,'Jack Phelan','F',24,'SHE',40,'0','0.317',41,165
1950,'Andy Phillip*','G-F',27,'CHS',65,'0','0.349',377,758
1950,'Jim Pollard*','SF',27,'MNL',66,'0','0.346',252,973
1950,'John Pritchard','C',23,'WAT',7,'0','0.31',8,22
1950,'Les Pugh','C-F',26,'BLB',56,'0','0.249',16,251
1950,'Don Putman','G',27,'STB',57,'0','0.255',90,135
1950,'George Ratkovicz','PF',27,'SYR',62,'0','0.369',124,535
1950,'Don Ray','F-C',28,'TRI',61,'0','0.323',60,364
1950,'Chick Reiser','G-F',35,'WSC',67,'0','0.305',174,606
1950,'Arnie Risen*','C',25,'ROC',62,'0','0.344',92,625
1950,'Tex Ritter','G-F',25,'NYK',62,'0','0.337',51,325
1950,'Bill Roberts','C',24,'STB',67,'0','0.347',24,182
1950,'Red Rocha','C',26,'STB',65,'0','0.405',155,770
1950,'Kenny Rollins','PG',26,'CHS',66,'0','0.342',131,354
1950,'Bob Royer','G',22,'DNN',42,'0','0.338',85,197
1950,'Jerry Rullo','G',26,'PHW',4,'0','0.333',2,7
1950,'Ed Sadowski','C',32,'TOT',69,'0','0.324',136,872
1950,'Ed Sadowski','C',32,'PHW',17,'0','0.307',39,146
1950,'Ed Sadowski','C',32,'BLB',52,'0','0.328',97,726
1950,'Kenny Sailors','G',29,'DNN',57,'0','0.349',229,987
1950,'Pep Saul','SG',25,'ROC',49,'0','0.404',28,182
1950,'Herm Schaefer','G-F',31,'MNL',65,'0','0.389',203,330
1950,'Marv Schatzman','F',22,'BLB',34,'0','0.247',38,115
1950,'Fred Schaus','F',24,'FTW',68,'0','0.352',176,972
1950,'Dolph Schayes*','F-C',21,'SYR',64,'0','0.385',259,1072
1950,'Milt Schoon','C',27,'SHE',62,'0','0.41',84,496
1950,'Howie Schultz','PF',27,'TOT',67,'0','0.267',169,554
1950,'Howie Schultz','PF',27,'AND',35,'0','0.263',88,283
1950,'Howie Schultz','PF',27,'FTW',32,'0','0.27',81,271
